Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-11-26,The Electrical Life of Louis Wain,2021,https://boxd.it/2jx9rN,3.5,,,2021-11-26
2021-12-28,Licorice Pizza,2021,https://boxd.it/2oWqNB,4,,,2021-12-27
2021-12-30,Spider-Man: No Way Home,2021,https://boxd.it/2pCjVn,3.5,,,2021-12-29
2022-01-03,Red Rocket,2021,https://boxd.it/2qOXjL,3.5,,,2022-01-02
2022-01-04,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/2r04nn,3.5,,,2022-01-03
2022-01-09,The Royal Tenenbaums,2001,https://boxd.it/2soQ8x,4,,,2022-01-09
2022-01-15,The House,2022,https://boxd.it/2tWu1B,3.5,,,2022-01-15
2022-01-30,Soul,2020,https://boxd.it/2x9YVx,4,,,2022-01-29
2022-02-11,Spencer,2021,https://boxd.it/2znm9r,4,,,2022-02-11
2022-02-13,My Neighbor Totoro,1988,https://boxd.it/2zFXh9,4,,,2022-02-12
2022-02-13,Jackass Forever,2022,https://boxd.it/2zIqiT,4,,,2022-02-12
2022-02-21,The Worst Person in the World,2021,https://boxd.it/2Bc6kz,4.5,,,2022-02-20
2022-03-06,Over the Garden Wall,2014,https://boxd.it/2Dr4ip,5,,,2022-03-05
2022-04-15,Ponyo,2008,https://boxd.it/2KQWcN,5,,,2022-04-15
2022-04-18,Everything Everywhere All at Once,2022,https://boxd.it/2LrPR9,4,,,2022-04-17
2022-05-05,Marcel the Shell with Shoes On,2021,https://boxd.it/2Oqtp3,5,,,2022-05-04
2022-05-08,The Northman,2022,https://boxd.it/2OYJXN,3.5,,,2022-05-07
2022-05-26,Paprika,2006,https://boxd.it/2SeOMf,4.5,,,2022-05-25
2022-05-26,Jiro Dreams of Sushi,2011,https://boxd.it/2Sg5dj,4,,,2022-05-26
2022-05-27,Morbius,2022,https://boxd.it/2Sk4dZ,1,,,2022-05-26
2022-06-04,Back to the Future,1985,https://boxd.it/2TJQsH,4,,,2022-06-03
2022-06-27,Minions,2015,https://boxd.it/2Y3LiX,,,,2022-06-27
2022-07-01,Mad God,2021,https://boxd.it/2YGj3D,,,,2022-06-30
2022-07-04,"Rome, Open City",1945,https://boxd.it/2Zk5tn,4,,,2022-07-04
2022-07-17,The Queen of Versailles,2012,https://boxd.it/31SGyb,4,Yes,,2022-07-16
2022-07-22,Nope,2022,https://boxd.it/32T3d5,3.5,,,2022-07-22
2022-08-03,Antichrist,2009,https://boxd.it/35Lzrf,3.5,,,2022-08-03
2022-08-03,Marcel the Shell with Shoes On,2021,https://boxd.it/35LzR3,5,Yes,,2022-08-03
2022-08-05,Gladiator,2000,https://boxd.it/369Ixp,4,,,2022-08-05
2022-09-03,Thirteen Lives,2022,https://boxd.it/3bSAER,4,,,2022-09-02
2022-10-15,Tampopo,1985,https://boxd.it/3kfJZ3,4.5,,,2022-10-15
2022-10-16,Triangle of Sadness,2022,https://boxd.it/3kr3e9,4.5,,,2022-10-15
2022-11-06,Princess Mononoke,1997,https://boxd.it/3p1g7X,4.5,Yes,,2022-11-06
2022-11-21,The Big Lebowski,1998,https://boxd.it/3s3pcN,,,,2022-11-20
2022-11-21,Singin' in the Rain,1952,https://boxd.it/3s3pHB,5,Yes,,2022-11-20
2022-11-21,Black Panther: Wakanda Forever,2022,https://boxd.it/3saqPv,3.5,,,2022-11-20
2022-11-21,The Banshees of Inisherin,2022,https://boxd.it/3satYP,4,,,2022-11-20
