Date,Name,Year,Letterboxd URI
2021-07-28,Parasite,2019,https://boxd.it/hTha
2021-10-02,Titane,2021,https://boxd.it/nlQC
2021-10-11,Ponyo,2008,https://boxd.it/1S0A
2021-10-15,Mandy,2018,https://boxd.it/gtti
2021-10-24,The French Dispatch,2021,https://boxd.it/jLP8
2021-10-27,Your Name.,2016,https://boxd.it/cUqs
2021-10-27,The Lobster,2015,https://boxd.it/7tnw
2021-10-27,Perfect Blue,1997,https://boxd.it/1W7A
2021-10-27,Come and See,1985,https://boxd.it/1w9q
2021-10-27,Stalker,1979,https://boxd.it/28PO
2021-10-27,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe
2021-10-27,Cléo from 5 to 7,1962,https://boxd.it/2agm
2021-10-27,Man with a Movie Camera,1929,https://boxd.it/1u7s
2022-02-03,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2022-02-03,If Beale Street Could Talk,2018,https://boxd.it/gGhu
2022-02-03,Minding the Gap,2018,https://boxd.it/hDNu
2022-02-03,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2022-03-05,Concerning Violence,2014,https://boxd.it/7luu
2022-03-06,Over the Garden Wall,2014,https://boxd.it/eqFw
2022-04-18,Human Flow,2017,https://boxd.it/gLUw
2022-05-03,Neon Genesis Evangelion,1995,https://boxd.it/ptEI
2022-05-05,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk
2022-05-26,Paprika,2006,https://boxd.it/23wW
2022-05-28,Vortex,2021,https://boxd.it/uoni
2022-07-01,Mad God,2021,https://boxd.it/vVPm
2022-07-11,GoodFellas,1990,https://boxd.it/29FA
2022-09-27,First Cow,2019,https://boxd.it/krga
2022-10-15,Tampopo,1985,https://boxd.it/1SZe
2022-10-16,Triangle of Sadness,2022,https://boxd.it/hXlq
2022-11-21,Singin' in the Rain,1952,https://boxd.it/29oY
2023-01-03,This Place Rules,2022,https://boxd.it/CJGm
2023-06-03,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2023-07-24,Barbie,2023,https://boxd.it/bCLK
2023-12-10,The Boy and the Heron,2023,https://boxd.it/ipeM
2024-09-07,Perfect Days,2023,https://boxd.it/ATh8
2024-11-15,Police Story,1985,https://boxd.it/1Zhe
2024-11-17,One Piece: Baron Omatsuri and the Secret Island,2005,https://boxd.it/Reu
2024-12-24,The Remarkable Life of Ibelin,2024,https://boxd.it/Iftk
2025-01-21,Hundreds of Beavers,2022,https://boxd.it/CyUM
