Date,Name,Year,Letterboxd URI,Rating
2021-07-28,Pig,2021,https://boxd.it/nzoW,4
2021-07-28,Bo Burnham: Inside,2021,https://boxd.it/v2uy,4.5
2021-07-28,Parasite,2019,https://boxd.it/hTha,5
2021-07-28,Midsommar,2019,https://boxd.it/jhxe,3.5
2021-07-28,Fight Club,1999,https://boxd.it/2a9q,4.5
2021-07-28,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe,4.5
2021-07-28,Bicycle Thieves,1948,https://boxd.it/23hW,4
2021-07-28,Come and See,1985,https://boxd.it/1w9q,5
2021-07-28,The Florida Project,2017,https://boxd.it/dMG0,4
2021-07-28,A Hidden Life,2019,https://boxd.it/eb1Q,3.5
2021-07-28,Umberto D.,1952,https://boxd.it/29vg,4
2021-07-28,Vagabond,1985,https://boxd.it/T0u,4
2021-07-28,In the Mood for Love,2000,https://boxd.it/29tE,4.5
2021-07-28,Mulholland Drive,2001,https://boxd.it/297o,4.5
2021-07-28,A Clockwork Orange,1971,https://boxd.it/2aVE,4.5
2021-07-28,Stalker,1979,https://boxd.it/28PO,4.5
2021-07-28,Blue Velvet,1986,https://boxd.it/29BI,4
2021-07-28,Taxi Driver,1976,https://boxd.it/2b8y,4
2021-07-28,Eyes Wide Shut,1999,https://boxd.it/2axs,3
2021-07-28,Perfect Blue,1997,https://boxd.it/1W7A,4.5
2021-07-28,Un Chien Andalou,1929,https://boxd.it/29Y8,4
2021-07-28,The Shining,1980,https://boxd.it/29Nu,4.5
2021-07-28,Psycho,1960,https://boxd.it/2ab2,4
2021-07-28,2001: A Space Odyssey,1968,https://boxd.it/2bf0,4.5
2021-07-28,The Silence of the Lambs,1991,https://boxd.it/2aHW,4.5
2021-07-28,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,3.5
2021-07-28,Spirited Away,2001,https://boxd.it/2b4m,4.5
2021-07-28,Apocalypse Now,1979,https://boxd.it/6ZS,4.5
2021-07-28,Black Swan,2010,https://boxd.it/Sw0,4
2021-07-28,Good Time,2017,https://boxd.it/fcFu,4
2021-07-28,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,3.5
2021-07-28,Dogtooth,2009,https://boxd.it/158K,4
2021-07-28,Beetlejuice,1988,https://boxd.it/24QI,3.5
2021-07-28,The Handmaiden,2016,https://boxd.it/948A,4.5
2021-07-28,Mandy,2018,https://boxd.it/gtti,4
2021-07-28,Beyond the Black Rainbow,2010,https://boxd.it/EzY,3.5
2021-07-28,American Psycho,2000,https://boxd.it/28Vs,4
2021-07-28,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,4
2021-07-28,Titicut Follies,1967,https://boxd.it/ZVc,4
2021-07-28,The Lobster,2015,https://boxd.it/7tnw,4
2021-07-28,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,3.5
2021-07-28,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2021-07-28,Ex Machina,2015,https://boxd.it/7T2k,4
2021-07-28,Alien,1979,https://boxd.it/2awY,4
2021-07-28,mother!,2017,https://boxd.it/dgRU,3.5
