Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-11-26,The Electrical Life of Louis Wain,2021,https://boxd.it/2jx9rN,3.5,,"Bio-pic that hits. Emotion and art, what terrifying but beautiful things.",,2021-11-26
2021-12-28,Licorice Pizza,2021,https://boxd.it/2oWqNB,4,,Kinda Quirky,,2021-12-27
2021-12-30,Spider-Man: No Way Home,2021,https://boxd.it/2pCjVn,3.5,,"You know, I'm something of a scientist myself.",,2021-12-29
2022-01-03,Red Rocket,2021,https://boxd.it/2qOXjL,3.5,,Horny fruits? I was confused.,,2022-01-02
2022-01-04,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/2r04nn,3.5,,😳,,2022-01-03
2022-01-09,The Royal Tenenbaums,2001,https://boxd.it/2soQ8x,4,,I WILL be Chas for Halloween next year.,,2022-01-09
2022-01-15,The House,2022,https://boxd.it/2tWu1B,3.5,,Chapter two got me feeling,,2022-01-15
2022-01-30,Soul,2020,https://boxd.it/2x9YVx,4,,"""I'm gonna love every moment of it.""",,2022-01-29
2022-02-11,Spencer,2021,https://boxd.it/2znm9r,4,,Scarecrow dripping with the yellow prada + cinematography ratio.,,2022-02-11
2022-02-13,My Neighbor Totoro,1988,https://boxd.it/2zFXh9,4,,Catbus,,2022-02-12
2022-02-13,Jackass Forever,2022,https://boxd.it/2zIqiT,4,,Penis,,2022-02-12
2022-02-21,The Worst Person in the World,2021,https://boxd.it/2Bc6kz,4.5,,30 seems like it's gonna be a hard year.,,2022-02-20
2022-03-05,Concerning Violence,2014,https://boxd.it/2DeouT,5,,"""We must turn over a new leaf, we must work out new concepts and try to set afoot, a new human being.""",,
2022-03-06,Over the Garden Wall,2014,https://boxd.it/2Dr4ip,5,,"Favorite non-rock fact: 

This show is great.",,2022-03-05
2022-04-15,Ponyo,2008,https://boxd.it/2KQWcN,5,,This movie is freaking great!,,2022-04-15
2022-04-18,Everything Everywhere All at Once,2022,https://boxd.it/2LrPR9,4,,Couldn't imagine what it would be like to fall asleep during this movie,,2022-04-17
2022-04-18,Human Flow,2017,https://boxd.it/2LuiH7,4,,Deserves the title of an epic.,,
